TSNE1,TSNE2
9.16281,-8.453634
11.313621,0.93753225
16.63558,-2.9185727
8.614282,-2.0139394
20.235386,-1.6075699
8.547934,-10.025192
9.644482,-1.7286133
12.5866,-0.04349008
16.218082,-10.95011
4.4806757,-5.0460343
2.5195768,-0.74855864
10.688142,1.1540314
4.559742,-2.9375377
-6.194666,3.5071826
12.143897,3.2481167
14.797241,4.0642614
11.216386,4.7920213
3.4121993,0.06595099
0.7562152,-1.7960029
4.658132,3.1784756
5.344189,1.0867203
8.600075,-2.6174135
14.255601,-8.563025
-13.302553,0.90391386
19.288874,-4.925754
5.4274173,-1.2512704
19.276365,-1.9461519
-1.1733834,-0.7511865
10.2602825,-1.9531641
10.456005,-8.967952
0.65650535,0.59715897
8.436314,-4.102323
13.298488,-8.595467
4.032577,1.7661009
14.953609,-3.1498024
5.070418,-6.380637
-2.2101724,1.6947335
4.278149,-0.22963287
-0.07181529,1.5744153
12.8691435,-9.268072
5.3376894,-2.8006957
7.9660845,-3.8929813
12.983421,-8.00205
15.334917,-2.615735
6.800245,-3.3594728
-0.22115946,-1.5279998
19.098267,-0.4462965
12.583653,-0.043925952
14.0433035,-9.291706
9.810289,-7.8827453
5.734758,1.7908398
15.642098,1.5898777
12.4852915,-2.9149287
1.4704274,-2.8028991
5.58901,-6.7819138
14.350903,-5.448229
-8.52174,-0.54670715
6.0141587,-1.894794
0.9074852,-2.351052
15.549483,-4.6993446
2.8317797,-3.6178372
-7.039549,18.151136
-11.670281,12.454841
-7.747871,17.075531
-8.968278,14.9582205
-5.9631734,2.8159506
-5.258448,4.389683
-7.073774,10.947401
-8.64797,10.503694
-2.3818803,12.731023
-11.949528,6.9028463
1.1957424,3.7631314
-4.330605,2.3290296
-5.601018,13.142564
-7.1448765,4.600675
2.1213143,-2.2055523
-6.9443903,12.619064
-2.9173436,14.976162
-20.812849,-1.9196469
-2.9473708,4.5159454
-9.388372,13.933268
-7.104202,8.048249
-6.583793,11.265328
-8.326417,13.573843
-8.069954,17.740313
-8.163959,14.101609
-8.888162,16.381287
-5.18192,15.417881
-6.6893353,15.732991
-5.865776,6.0164504
-8.423449,11.440867
-6.0168962,14.996896
-6.9631414,13.212127
-7.7482896,14.981334
-5.053798,4.346401
-6.8030005,17.067211
-4.0123725,13.633056
-10.282622,14.328737
-4.793599,16.344517
-6.9121037,9.541137
-6.4163685,5.7104387
-13.875692,-0.08749006
1.6539054,-0.27893862
-7.7384787,10.225581
-10.381398,1.1817684
1.4724776,2.3930902
-2.9886703,8.96695
-3.9698236,9.988446
-5.979895,14.289371
-11.699334,-2.5622838
-3.8870094,8.428503
-4.252781,10.410113
-6.6082096,16.906857
-3.57669,-1.8659327
-5.132537,1.4834545
-5.11415,2.8753626
3.4999125,0.92683375
-7.782732,1.9607029
-10.590257,2.5629232
-6.6891813,3.8200064
-9.3741455,16.18277
-2.3322363,9.350058
-3.8939676,12.503242
-10.527278,4.929549
-4.168447,-0.7226726
-9.598164,8.1629925
-3.1727946,-2.4235466
-12.414937,-2.8883586
-9.046029,13.211204
-8.053839,12.473329
-0.82031137,-0.17877121
-2.7422085,10.1984625
-5.7535453,9.62913
-7.2337575,13.928986
-10.756597,12.00975
-3.6153617,-1.8697244
-4.8146486,14.290649
-4.861425,5.4346905
-10.990854,7.3178573
-5.7723923,11.847357
15.311485,-10.94998
22.20115,-2.234567
9.527044,-10.607038
15.617204,-0.43727505
15.499191,1.274018
-11.723467,0.745257
2.8298762,-5.6508813
10.66537,-7.9325714
14.682694,-10.630865
4.124879,-0.17929515
5.2944546,-5.83258
16.855951,-1.7758365
20.557344,-2.8297327
16.964409,-4.852036
14.380981,-3.5622742
10.74287,-10.523107
11.871693,-10.120755
15.812538,-11.413324
15.681603,-7.0152073
13.802483,2.5900028
14.431291,-1.5388726
17.157927,-0.41962135
1.0433972,4.5659823
21.486193,-3.3320043
17.924393,-0.78400147
15.284804,-11.865474
17.679794,-6.87002
16.837921,-4.8464384
3.597963,-6.1160707
3.0062501,-2.091291
13.3102255,-11.199554
5.92258,-7.500595
22.04438,-2.9166672
-1.1475236,1.126612
19.315737,-0.09527799
8.405602,-1.8118175
21.082354,-2.465097
15.9353075,-0.7891155
18.031994,-8.225642
16.2611,1.3944006
9.480368,-8.9282875
11.780478,2.499194
19.988974,-3.2410207
13.372542,-10.844109
5.4101267,-0.4370939
10.455049,-10.519866
19.659534,-2.4841688
17.19983,-11.201701
22.302742,-4.239241
2.758032,-0.12006638
-10.304833,3.024585
-12.053587,4.9933634
2.9988372,2.3221717
